date,ticker,occ,engine_took,student_p,student_says,reason,outcome,net_return
2026-07-27 13:32,IWM,IWM260731P00286000,0,0.444,VETO,,up,0.3587
2026-07-27 13:32,QQQ,QQQ260727C00694000,0,0.425,VETO,,down,-0.7033
2026-07-27 13:32,GLD,GLD260731P00373000,0,0.425,VETO,,up,0.3
2026-07-27 13:32,HOOD,HOOD260731C00100000,0,0.425,VETO,,down,-0.5976
2026-07-27 13:32,UBER,UBER270115C00090000,0,0.252,VETO,,down,-0.8049
2026-07-27 13:32,S,S260918C00022000,0,0.115,VETO,,vertical,-0.03
2026-07-27 13:32,NTR,NTR270115C00072500,0,0.408,VETO,,up,0.2797
2026-07-27 13:32,DELL,DELL260731P00380000,0,0.426,VETO,,up,0.3321
2026-07-27 13:32,PYPL,PYPL260731C00060000,0,0.252,VETO,,down,-0.985
2026-07-27 13:32,TQQQ,TQQQ260731C00069500,0,0.267,VETO,,down,-0.6186
2026-07-27 13:32,GLD,GLD260731P00372000,0,0.425,VETO,,up,0.2672
2026-07-27 13:32,SQQQ,SQQQ260731C00044000,0,0.408,VETO,,up,0.3851
2026-07-27 13:43,TQQQ,TQQQ260731C00064000,0,0.267,VETO,,down,-0.5395
2026-07-27 13:43,NVDA,NVDA260731C00205000,0,0.425,VETO,,down,-0.5296
2026-07-27 13:43,ORCL,ORCL260821C00135000,0,0.411,VETO,,up,0.4343
2026-07-27 13:43,IWM,IWM260821P00270000,0,0.444,VETO,,up,0.3804
2026-07-27 13:43,NVDA,NVDA260727P00205000,0,0.425,VETO,,up,0.6699
2026-07-27 13:43,TSLA,TSLA260727P00310000,0,0.425,VETO,,up,0.997
2026-07-27 13:43,SPY,SPY260727C00744000,0,0.425,VETO,,down,-0.6453
2026-07-27 13:43,SMCI,SMCI260731C00029000,0,0.232,VETO,,down,-0.5806
2026-07-27 13:43,SPCX,SPCX260821C00225000,0,0.426,VETO,,up,0.275
2026-07-27 13:43,USO,USO260731P00120000,0,0.411,VETO,,up,0.215
2026-07-27 13:43,REPL,REPL260807C00008500,0,0.09,VETO,,down,-0.8075
2026-07-27 13:43,BKR,BKR260821C00065000,0,0.184,VETO,,down,-0.5778
2026-07-27 13:43,UNG,UNG260918C00011000,0,0.09,VETO,,down,-1.061
2026-07-27 13:43,RSI,RSI260821P00030000,0,0.09,VETO,,down,-1.0029
2026-07-27 13:43,SOFI,SOFI260731C00018500,0,0.252,VETO,,down,-0.5435
2026-07-27 13:43,IREN,IREN260731P00035000,0,0.444,VETO,,up,0.3419
2026-07-27 13:43,IONQ,IONQ260731C00038500,0,0.252,VETO,,down,-0.6652
2026-07-27 13:43,TLT,TLT260731C00083000,0,0.252,VETO,,up,0.2959
2026-07-27 13:43,BITI,BITI260918C00022000,0,0.09,VETO,,vertical,0.0259
2026-07-27 13:52,SPY,SPY260730C00750000,0,0.425,VETO,,down,-0.518
2026-07-27 13:52,SPY,SPY260728P00743000,0,0.425,VETO,,up,0.6134
2026-07-27 13:52,PYPL,PYPL260821P00050000,0,0.252,VETO,,down,-1.0316
2026-07-27 13:52,MXL,MXL260821C00085000,0,0.232,VETO,,down,-0.6763
2026-07-27 13:52,HIMS,HIMS260807C00028500,0,0.184,VETO,,down,-1.0235
2026-07-27 13:52,NVDA,NVDA260731C00210000,0,0.425,VETO,,down,-0.5671
2026-07-27 13:52,SKHY,SKHY260731P00120000,0,0.444,VETO,,up,0.3227
2026-07-27 13:52,ORCL,ORCL260731C00124000,0,0.411,VETO,,down,-0.7094
2026-07-27 13:52,DLR,DLR260918C00220000,0,0.267,VETO,,down,-0.7161
2026-07-27 13:52,SPY,SPY260731P00735000,0,0.425,VETO,,up,0.3162
2026-07-27 13:52,WKC,WKC260821P00040000,0,0.09,VETO,,down,-0.662
2026-07-27 13:52,LMND,LMND260821C00070000,0,0.173,VETO,,down,-0.8868
2026-07-27 13:52,CE,CE270115P00040000,0,0.115,VETO,,down,-0.645
2026-07-27 13:52,CAPR,CAPR260821C00010000,0,0.184,VETO,,down,-1.1618
2026-07-27 13:52,TLT,TLT260731P00084500,0,0.252,VETO,,down,-0.5625
2026-07-27 13:52,IGV,IGV260821C00095000,0,0.267,VETO,,down,-0.5615
2026-07-27 13:52,SMCI,SMCI260731C00031000,0,0.232,VETO,,down,-0.6106
2026-07-27 13:52,SNDK,SNDK260731C01380000,0,0.343,VETO,,down,-0.5404
2026-07-27 14:02,AMAT,AMAT260731P00450000,0,0.425,VETO,,up,0.4278
2026-07-27 14:02,SPY,SPY260730P00735000,0,0.425,VETO,,up,0.3819
2026-07-27 14:02,OPEN,OPEN280121C00015000,0,0.184,VETO,,vertical,-0.2945
2026-07-27 14:02,SPY,SPY260727P00741000,0,0.425,VETO,,up,1.0129
2026-07-27 14:02,XLE,XLE261218P00047500,0,0.343,VETO,,down,-0.8333
2026-07-27 14:02,DRAM,DRAM260731C00055000,0,0.343,VETO,,down,-0.581
2026-07-27 14:02,BRUN,BRUN260821C00020000,0,0.123,VETO,,down,-0.783
2026-07-27 14:02,GFS,GFS260821P00050000,0,0.343,VETO,,up,0.3086
2026-07-27 14:02,CLF,CLF260918P00011000,0,0.09,VETO,,down,-1.0592
2026-07-27 14:02,ASHR,ASHR260821C00036500,0,0.184,VETO,,down,-0.8235
2026-07-27 14:02,RKLB,RKLB260731C00067000,0,0.408,VETO,,down,-0.6268
2026-07-27 14:02,DIA,DIA260731P00515000,0,0.425,VETO,,up,0.4596
2026-07-27 14:12,SPY,SPY260728C00742000,0,0.425,VETO,,down,-0.5665
2026-07-27 14:12,HOOD,HOOD260731P00080000,0,0.425,VETO,,up,0.5
2026-07-27 14:12,AGI,AGI260821P00028000,0,0.343,VETO,,up,0.4
2026-07-27 14:12,CRWV,CRWV260731C00075000,0,0.343,VETO,,down,-0.7637
2026-07-27 14:12,OKLO,OKLO270319P00025000,0,0.267,VETO,,vertical,-0.0016
2026-07-27 14:12,MSTR,MSTR260807C00110000,0,0.408,VETO,,down,-0.6597
2026-07-27 14:12,TLT,TLT270115P00083000,0,0.252,VETO,,up,0.3304
2026-07-27 14:12,MGM,MGM260821P00040000,0,0.115,VETO,,down,-1.0091
2026-07-27 14:12,QBTS,QBTS260821C00017500,0,0.184,VETO,,down,-0.573
2026-07-27 14:12,XLF,XLF261231C00060000,0,0.232,VETO,,down,-0.637
2026-07-27 14:12,REPL,REPL260807C00007500,0,0.09,VETO,,down,-0.856
2026-07-27 14:12,XLF,XLF260821P00056000,0,0.232,VETO,,up,0.3333
2026-07-27 14:22,AAPL,AAPL260727C00335000,0,0.411,VETO,,down,-0.55
2026-07-27 14:22,MSTR,MSTR260807P00082000,0,0.408,VETO,,down,-0.6711
2026-07-27 14:22,IWM,IWM260807C00297500,0,0.444,VETO,,down,-0.5295
2026-07-27 14:22,SPY,SPY260728P00737000,0,0.425,VETO,,up,0.5695
2026-07-27 14:22,DIA,DIA260731P00514000,0,0.425,VETO,,up,0.45
2026-07-27 14:22,GM,GM260821P00085000,0,0.343,VETO,,down,-0.5356
2026-07-27 14:22,IONQ,IONQ260918P00030000,0,0.252,VETO,,up,0.3414
2026-07-27 14:22,WBD,WBD261016C00027000,0,0.184,VETO,,down,-0.5233
2026-07-27 14:22,BMNR,BMNR260731C00016000,0,0.252,VETO,,down,-0.7222
2026-07-27 14:22,APLD,APLD260731C00027500,0,0.252,VETO,,down,-0.5884
2026-07-27 14:22,IREN,IREN260918C00050000,0,0.444,VETO,,down,-0.5361
2026-07-27 14:32,SPY,SPY260727P00739000,0,0.425,VETO,,up,0.3949
2026-07-27 14:32,SPY,SPY260727P00737000,0,0.425,VETO,,up,0.2939
2026-07-27 14:32,BX,BX260731P00135000,0,0.267,VETO,,up,0.2333
2026-07-27 14:32,QQQ,QQQ260727P00678000,0,0.425,VETO,,up,0.5064
2026-07-27 14:32,SPY,SPY260727P00740000,0,0.425,VETO,,up,0.3457
2026-07-27 14:32,XOM,XOM260807C00155000,0,0.5,VETO,,up,0.4363
2026-07-27 14:32,KRE,KRE261218P00073000,0,0.252,VETO,,down,-0.6735
2026-07-27 14:32,MSTR,MSTR260731C00100000,0,0.408,VETO,,down,-0.5433
2026-07-27 14:32,SLV,SLV260918C00060000,0,0.267,VETO,,vertical,-0.2444
2026-07-27 14:32,COIN,COIN260807C00210000,0,0.267,VETO,,down,-1.1238
2026-07-27 14:42,SPY,SPY260731P00714000,0,0.425,VETO,,down,-0.5205
2026-07-27 14:42,AMD,AMD260727P00472500,0,0.408,VETO,,down,-0.7987
2026-07-27 14:42,NVDA,NVDA270219C00305000,0,0.425,VETO,,vertical,-0.1269
2026-07-27 14:42,SPCX,SPCX260731P00100000,0,0.426,VETO,,down,-0.5727
2026-07-27 14:42,NFLX,NFLX260807P00071000,0,0.408,VETO,,down,-0.5414
2026-07-27 14:42,AMKR,AMKR260821P00048000,0,0.184,VETO,,up,0.7585
2026-07-27 14:42,DRAM,DRAM260731P00052500,0,0.343,VETO,,up,0.4114
2026-07-27 14:42,QURE,QURE260821C00050000,0,0.115,VETO,,down,-0.6742
2026-07-27 14:42,QQQ,QQQ260803C00685000,0,0.425,VETO,,down,-0.5231
2026-07-27 14:52,QQQ,QQQ260918P00570000,0,0.425,VETO,,vertical,-0.4197
2026-07-27 14:52,QQQ,QQQ260727C00680000,0,0.425,VETO,,down,-0.5975
2026-07-27 14:52,SPY,SPY260727C00736000,0,0.425,VETO,,down,-0.5552
2026-07-27 14:52,SPCX,SPCX260814C00150000,0,0.426,VETO,,up,0.319
2026-07-27 14:52,GOOG,GOOG260821P00295000,0,0.425,VETO,,down,-0.7048
2026-07-27 14:52,QQQ,QQQ260727C00678000,0,0.425,VETO,,down,-0.545
2026-07-27 14:52,EOSE,EOSE280121C00010000,0,0.123,VETO,,vertical,-0.216
2026-07-27 14:52,TQQQ,TQQQ260821P00045000,0,0.267,VETO,,down,-0.5632
2026-07-27 14:52,BABA,BABA260807C00125000,0,0.426,VETO,,up,0.275
2026-07-27 15:03,IREN,IREN260821P00033000,0,0.444,VETO,,up,0.2931
2026-07-27 15:03,UMC,UMC260918C00018000,0,0.161,VETO,,down,-0.5419
2026-07-27 15:03,SPY,SPY260727C00739000,0,0.425,VETO,,down,-0.5961
2026-07-27 15:03,GOOG,GOOG260918C00410000,0,0.425,VETO,,up,0.3239
2026-07-27 15:03,TSLA,TSLA260727C00307500,0,0.425,VETO,,down,-0.5295
2026-07-27 15:03,GIS,GIS260821C00037500,0,0.184,VETO,,up,0.2882
2026-07-27 15:03,BAC,BAC261016C00065000,0,0.232,VETO,,down,-0.7865
2026-07-27 15:03,WEN,WEN260821C00007500,0,0.115,VETO,,down,-0.94
2026-07-27 15:03,C,C260731P00131000,0,0.343,VETO,,up,0.324
2026-07-27 15:03,SCCO,SCCO260807P00160000,0,0.115,VETO,,down,-0.775
2026-07-27 15:03,WOLF,WOLF260821C00027500,0,0.161,VETO,,down,-0.9946
2026-07-27 15:03,BBWI,BBWI261120C00027500,0,0.051,VETO,,down,-0.9059
2026-07-27 15:03,MSTR,MSTR260731C00109000,0,0.408,VETO,,down,-0.8167
2026-07-27 15:03,POET,POET260904C00007000,0,0.115,VETO,,vertical,-0.2524
2026-07-27 15:03,AG,AG261218C00040000,0,0.161,VETO,,down,-1.2045
2026-07-27 15:03,BABA,BABA260731C00115000,0,0.426,VETO,,up,0.2857
2026-07-27 15:13,META,META260727C00605000,0,0.425,VETO,,down,-0.6088
2026-07-27 15:13,SOXX,SOXX260807C00600000,0,0.267,VETO,,down,-0.8702
2026-07-27 15:13,AMZN,AMZN260731C00245000,0,0.425,VETO,,down,-0.5158
2026-07-27 15:13,CRWV,CRWV260918P00045000,0,0.343,VETO,,up,0.3462
2026-07-27 15:13,SLV,SLV261016C00073000,0,0.267,VETO,,vertical,-0.2945
2026-07-27 15:13,IWM,IWM260807P00278000,0,0.444,VETO,,up,0.3663
2026-07-27 15:13,QQQ,QQQ260727C00681000,0,0.425,VETO,,down,-0.551
2026-07-27 15:13,APH,APH260821P00130000,0,0.267,VETO,,up,0.3697
2026-07-27 15:13,BMNR,BMNR260821C00020000,0,0.252,VETO,,down,-1.0253
2026-07-27 15:13,SPY,SPY260728C00740000,0,0.425,VETO,,down,-0.7012
2026-07-27 15:13,SPY,SPY260729C00742000,0,0.425,VETO,,down,-0.593
2026-07-27 15:13,KGS,KGS260821P00055000,0,0.161,VETO,,down,-0.9292
2026-07-27 15:13,SPY,SPY260727C00740000,0,0.425,VETO,,down,-0.5656
2026-07-27 15:13,TOST,TOST260918C00030000,0,0.267,VETO,,up,0.2962
2026-07-27 15:13,HIMS,HIMS260807P00028000,0,0.184,VETO,,down,-1.0917
2026-07-27 15:13,ETHA,ETHA260918C00017000,0,0.161,VETO,,down,-0.575
2026-07-27 15:13,EWY,EWY260821P00120000,0,0.343,VETO,,down,-0.6323
2026-07-27 15:13,COF,COF260807C00210000,0,0.252,VETO,,down,-1.0526
2026-07-27 15:13,VICR,VICR260821P00135000,0,0.115,VETO,,down,-1.0947
2026-07-27 15:13,JBLU,JBLU270115P00004000,0,0.115,VETO,,vertical,-0.4231
2026-07-27 15:23,JOBY,JOBY260828C00007500,1,0.115,VETO,,down,-0.5409
2026-07-27 15:23,SPCX,SPCX260807P00095000,0,0.426,VETO,,vertical,-0.2268
2026-07-27 15:23,WULF,WULF260821C00017500,0,0.343,VETO,,down,-0.528
2026-07-27 15:23,DRAM,DRAM260821C00070000,0,0.343,VETO,,down,-0.6983
2026-07-27 15:23,BNO,BNO270115C00085000,0,0.345,VETO,,down,-0.5773
2026-07-27 15:23,XLE,XLE260821P00057500,0,0.343,VETO,,up,0.2778
2026-07-27 15:23,CSGP,CSGP260821P00025000,0,0.161,VETO,,down,-1.2059
2026-07-27 15:23,PLTR,PLTR260731P00125000,0,0.426,VETO,,up,1.9124
2026-07-27 15:23,USO,USO261218P00100000,0,0.411,VETO,,vertical,-0.2802
2026-07-27 15:23,SLV,SLV270319C00095000,0,0.267,VETO,,vertical,-0.1767
2026-07-27 15:23,KKR,KKR260918C00115000,0,0.232,VETO,,down,-0.9897
2026-07-27 15:23,WULF,WULF260821P00015000,0,0.343,VETO,,up,0.4167
2026-07-27 15:23,TLT,TLT260731P00084000,0,0.252,VETO,,down,-0.5818
2026-07-27 15:23,TSEM,TSEM260918C00440000,0,0.161,VETO,,down,-0.7135
2026-07-27 15:23,KWEB,KWEB260821C00028000,0,0.267,VETO,,up,0.4727
2026-07-27 15:23,CNXC,CNXC260918C00030000,0,0.079,VETO,,down,-1.0955
2026-07-27 15:23,JOBY,JOBY260821C00008000,0,0.09,VETO,,down,-0.5385
2026-07-27 15:23,TTWO,TTWO260918C00310000,0,0.252,VETO,,up,0.3
2026-07-27 15:32,SPY,SPY260821P00702000,0,0.425,VETO,,down,-0.5726
2026-07-27 15:32,QQQ,QQQ260727P00680000,0,0.425,VETO,,down,-0.5681
2026-07-27 15:32,SPY,SPY260804P00704000,0,0.425,VETO,,down,-0.5269
2026-07-27 15:32,AVGO,AVGO260727C00382500,0,0.425,VETO,,up,0.6296
2026-07-27 15:32,CIEN,CIEN260821P00260000,0,0.184,VETO,,down,-1.0833
2026-07-27 15:32,NFLX,NFLX260731P00073000,0,0.408,VETO,,down,-0.538
2026-07-27 15:32,NVO,NVO260814P00050000,0,0.343,VETO,,down,-0.7851
2026-07-27 15:32,C,C260828C00136000,0,0.343,VETO,,down,-0.5917
2026-07-27 15:32,UMC,UMC261016P00014000,0,0.161,VETO,,down,-0.8474
2026-07-27 15:32,KWEB,KWEB260821C00027500,0,0.267,VETO,,up,0.3289
2026-07-27 15:32,CLSK,CLSK260828C00019000,0,0.267,VETO,,down,-1.0652
2026-07-27 15:32,FRMI,FRMI261016C00008000,0,0.161,VETO,,down,-0.6069
2026-07-27 15:32,WDAY,WDAY260918C00210000,0,0.184,VETO,,down,-0.6206
2026-07-27 15:32,TNA,TNA260807P00067000,0,0.184,VETO,,down,-0.6784
2026-07-27 15:43,MU,MU260729C00990000,0,0.425,VETO,,down,-0.9924
2026-07-27 15:43,QQQ,QQQ260727C00676000,0,0.425,VETO,,up,0.6802
2026-07-27 15:43,SPY,SPY260728P00738000,0,0.425,VETO,,down,-0.5846
2026-07-27 15:43,SPY,SPY260727P00735000,0,0.425,VETO,,down,-0.7359
2026-07-27 15:43,FCEL,FCEL261016C00035000,0,0.252,VETO,,up,0.3104
2026-07-27 15:43,QQQ,QQQ260728P00675000,0,0.425,VETO,,down,-0.5231
2026-07-27 15:43,NEE,NEE260807P00090000,0,0.252,VETO,,down,-0.8785
2026-07-27 15:43,ORCL,ORCL260731P00115000,0,0.411,VETO,,up,0.4858
2026-07-27 15:43,CLSK,CLSK270115C00020000,0,0.267,VETO,,vertical,-0.3174
2026-07-27 15:43,PG,PG260807P00149000,0,0.343,VETO,,down,-0.7164
2026-07-27 15:43,MXL,MXL260821P00045000,0,0.232,VETO,,up,0.224
2026-07-27 15:43,LQDA,LQDA260821C00100000,0,0.09,VETO,,down,-0.6357
2026-07-27 15:43,FPS,FPS260821C00040000,0,0.232,VETO,,down,-0.6025
